Title: Offline Suppression Management
Account Name: Case New Holland
Group: ooc-internet-5-specialized,Scan Type: test
File Create Time: 2013-06-07 12:54:36 UTC
Available Suppressions:,test suppression
WARNING: Do not remove or add lines above this line

System Name,IP address,Operation System,Group Name,Deviation Level,Suppression Name,Suppression Date,Deviation Text,Deviation Status,Deviation Validation Group,HC Cycle Scan Timestamp,finding_vid,finding_hash,asset_id
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\repair - User Entry (extra) Found: CREATOR OWNER[S-1-3-0] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318973,-2004987996,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\security - User Entry (extra) Found: SYSTEM[S-1-5-18] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318976,-680358706,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\system - User Entry (extra) Found: CREATOR OWNER[S-1-3-0] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318977,-913457364,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\system - User Entry (extra) Found: SYSTEM[S-1-5-18] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318978,-335375,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\system32\config - User Entry (extra) Found: SYSTEM[S-1-5-18] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318982,-1811653479,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\system32\drivers - User Entry (extra) Found: SYSTEM[S-1-5-18] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318986,-571535895,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\system32\spool - User Entry (extra) Found: SYSTEM[S-1-5-18] - Effective ACL Found: FULL - [0::2032127],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318989,-1324035693,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (reg): HKCR\ - User Entry (extra) Found: SYSTEM[S-1-5-18] - Effective ACL Found: FULL - [0::983103],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318995,-974740043,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (reg): HKLM\system\currentcontrolset\services\eventlog\security - User Entry (extra) Found: CREATOR OWNER[S-1-3-0] - Effective ACL Found: FULL - [0::983103],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318996,1193520222,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,User Resource: Password Reverse Encryption - admin[S-1-5-21-3146799228-3739250210-3804636452-500] - Rule: enabled - Found: disabled - Member Of (local): S1CN1HAZFP01\Tivoli_Admin_Privileges; BUILTIN\Administrators - Member Of (global): NONE,Valid,Operating System Chk,2013-06-06 00:00:00.000000,319008,-379585844,65132
